market,model,accuracy,roc_auc,f1,best_by_accuracy
1X2 (Match Winner),Random Forest,53.12,,46.39,True
1X2 (Match Winner),Logistic Regression,52.3,,46.93,False
1X2 (Match Winner),HistGradientBoosting,52.06,,45.97,False
1X2 (Match Winner),XGBoost,50.78,,46.33,False
Double Chance 1X (Home or Draw),Logistic Regression,70.32,71.38,80.1,True
Double Chance 1X (Home or Draw),Random Forest,69.68,68.18,79.87,False
Double Chance 1X (Home or Draw),HistGradientBoosting,68.33,68.31,78.71,False
Double Chance 1X (Home or Draw),XGBoost,68.12,68.01,78.5,False
Double Chance X2 (Away or Draw),Logistic Regression,64.43,70.54,68.36,True
Double Chance X2 (Away or Draw),Random Forest,63.9,69.16,68.54,False
Double Chance X2 (Away or Draw),HistGradientBoosting,63.62,68.13,67.65,False
Double Chance X2 (Away or Draw),XGBoost,62.59,67.98,66.8,False
Over 2.5 Goals,HistGradientBoosting,56.99,54.05,67.33,True
Over 2.5 Goals,Random Forest,55.28,53.97,63.84,False
Over 2.5 Goals,Logistic Regression,54.72,55.35,62.32,False
Over 2.5 Goals,XGBoost,52.84,52.64,59.06,False
Under 2.5 Goals,HistGradientBoosting,56.95,54.13,32.65,True
Under 2.5 Goals,Random Forest,55.25,54.34,40.76,False
Under 2.5 Goals,Logistic Regression,54.72,55.35,41.99,False
Under 2.5 Goals,XGBoost,52.84,52.64,43.19,False
BTTS (Both Teams To Score),HistGradientBoosting,52.45,51.53,60.82,True
BTTS (Both Teams To Score),XGBoost,51.7,51.76,55.91,False
BTTS (Both Teams To Score),Logistic Regression,51.56,51.12,56.45,False
BTTS (Both Teams To Score),Random Forest,50.35,49.74,57.27,False
BTTS - No,HistGradientBoosting,53.12,50.93,34.91,True
BTTS - No,XGBoost,51.7,51.76,45.87,False
BTTS - No,Logistic Regression,51.56,51.12,42.12,False
BTTS - No,Random Forest,51.56,49.83,38.79,False
Home Clean Sheet,HistGradientBoosting,70.43,59.91,9.14,True
Home Clean Sheet,Random Forest,69.93,58.56,20.71,False
Home Clean Sheet,Logistic Regression,69.43,60.85,22.65,False
Home Clean Sheet,XGBoost,68.33,59.82,22.98,False
