Calibracion,Mercado,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
UNCAL,1X2,FLAT,$8.80,$16130.00,-6.15%,1613,29.82%,99.27%
UNCAL,1X2,KELLY,$0.96,$10280.61,-9.72%,428,28.74%,99.97%
UNCAL,1X2,HALF,$1.98,$8671.58,-11.51%,1420,30.99%,99.90%
UNCAL,1X2,QUARTER,$32.83,$9265.52,-10.44%,1779,29.51%,98.03%
UNCAL,1X2,EDGE,$1.95,$8014.17,-12.45%,1048,30.15%,99.89%
UNCAL,DOUBLE_CHANCE_1X,FLAT,$582.32,$3960.00,-10.55%,396,51.77%,44.63%
UNCAL,DOUBLE_CHANCE_1X,KELLY,$3.21,$8485.04,-11.75%,396,51.77%,99.77%
UNCAL,DOUBLE_CHANCE_1X,HALF,$82.48,$8086.76,-11.35%,396,51.77%,93.13%
UNCAL,DOUBLE_CHANCE_1X,QUARTER,$315.23,$6013.76,-11.39%,396,51.77%,71.33%
UNCAL,DOUBLE_CHANCE_1X,EDGE,$88.98,$7363.10,-12.37%,396,51.77%,92.83%
UNCAL,DOUBLE_CHANCE_X2,FLAT,$786.26,$4210.00,-5.08%,421,34.92%,38.79%
UNCAL,DOUBLE_CHANCE_X2,KELLY,$11.34,$6760.82,-14.62%,420,35.00%,99.62%
UNCAL,DOUBLE_CHANCE_X2,HALF,$205.11,$7954.13,-9.99%,421,34.92%,88.98%
UNCAL,DOUBLE_CHANCE_X2,QUARTER,$538.45,$6130.67,-7.53%,421,34.92%,61.38%
UNCAL,DOUBLE_CHANCE_X2,EDGE,$158.70,$8953.40,-9.40%,421,34.92%,93.07%
UNCAL,OVER,FLAT,$814.80,$4690.00,-3.95%,469,45.84%,35.46%
UNCAL,OVER,KELLY,$28.87,$7370.80,-13.18%,469,45.84%,99.19%
UNCAL,OVER,HALF,$288.59,$8761.99,-8.12%,469,45.84%,86.37%
UNCAL,OVER,QUARTER,$613.21,$6954.49,-5.56%,469,45.84%,59.05%
UNCAL,OVER,EDGE,$242.14,$8327.76,-9.10%,469,45.84%,87.75%
UNCAL,UNDER,FLAT,$792.10,$8350.00,-2.49%,835,38.20%,59.90%
UNCAL,UNDER,KELLY,$0.93,$55581.48,-1.80%,684,37.87%,99.99%
UNCAL,UNDER,HALF,$77.70,$34989.86,-2.64%,835,38.20%,99.02%
UNCAL,UNDER,QUARTER,$388.84,$17651.80,-3.46%,835,38.20%,88.18%
UNCAL,UNDER,EDGE,$68.46,$40686.80,-2.29%,835,38.20%,99.34%
UNCAL,BTTS,FLAT,$936.68,$1060.00,-5.97%,106,45.28%,18.57%
UNCAL,BTTS,KELLY,$359.58,$3144.01,-20.37%,106,45.28%,85.18%
UNCAL,BTTS,HALF,$655.93,$2544.38,-13.52%,106,45.28%,58.46%
UNCAL,BTTS,QUARTER,$828.14,$1614.08,-10.65%,106,45.28%,34.33%
UNCAL,BTTS,EDGE,$653.97,$2618.27,-13.22%,106,45.28%,59.55%
UNCAL,BTTS_NO,FLAT,$711.22,$8250.00,-3.50%,825,46.30%,45.74%
UNCAL,BTTS_NO,KELLY,$2.52,$21634.34,-4.61%,824,46.36%,99.89%
UNCAL,BTTS_NO,HALF,$141.20,$24090.98,-3.56%,825,46.30%,93.20%
UNCAL,BTTS_NO,QUARTER,$488.14,$16403.71,-3.12%,825,46.30%,69.40%
UNCAL,BTTS_NO,EDGE,$117.82,$23351.23,-3.78%,825,46.30%,94.65%
UNCAL,HOME_CLEAN_SHEET,FLAT,$0.44,$13220.00,-7.56%,1322,25.04%,99.96%
UNCAL,HOME_CLEAN_SHEET,KELLY,$0.98,$10046.30,-9.94%,557,29.44%,99.91%
UNCAL,HOME_CLEAN_SHEET,HALF,$1.95,$15674.34,-6.37%,1107,25.65%,99.86%
UNCAL,HOME_CLEAN_SHEET,QUARTER,$17.43,$15667.36,-6.27%,1563,24.25%,98.96%
