Mercado,Gestión Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
1X2,FLAT,$3.60,$15150.00,-6.58%,1515,29.90%,99.70%
1X2,KELLY,$0.93,$10026.74,-9.96%,414,27.78%,99.96%
1X2,HALF,$1.96,$8304.49,-12.02%,1137,30.26%,99.90%
1X2,QUARTER,$25.44,$8567.06,-11.38%,1776,29.39%,98.44%
1X2,EDGE,$2.00,$7390.37,-13.50%,984,29.78%,99.89%
OVER,FLAT,$850.40,$4660.00,-3.21%,466,46.14%,31.20%
OVER,KELLY,$34.38,$7853.05,-12.30%,466,46.14%,98.62%
OVER,HALF,$312.79,$9215.31,-7.46%,466,46.14%,82.33%
OVER,QUARTER,$637.33,$7134.71,-5.08%,466,46.14%,53.46%
OVER,EDGE,$271.87,$8737.40,-8.33%,466,46.14%,83.94%
UNDER,FLAT,$734.30,$8320.00,-3.19%,832,37.86%,62.04%
UNDER,KELLY,$0.93,$50742.41,-1.97%,685,37.96%,99.98%
UNDER,HALF,$64.84,$33046.65,-2.83%,832,37.86%,99.15%
UNDER,QUARTER,$354.26,$17006.85,-3.80%,832,37.86%,89.05%
UNDER,EDGE,$56.45,$38733.48,-2.44%,832,37.86%,99.41%
PORTFOLIO,FLAT,$6.30,$13980.00,-7.11%,1398,32.19%,99.47%
PORTFOLIO,KELLY,$0.96,$11516.09,-8.68%,449,30.07%,99.96%
PORTFOLIO,HALF,$2.00,$11692.58,-8.54%,1347,32.29%,99.89%
PORTFOLIO,QUARTER,$9.49,$12306.48,-8.05%,2109,31.72%,99.47%
PORTFOLIO,EDGE,$1.92,$9056.39,-11.02%,1194,32.50%,99.89%
