game_id,date,home_team,away_team,venue,home_goals,away_goals,total_goals,btts,result_1x2,season,game,week,day,attendance,home_elo,away_elo,home_rest,h_missing_key_player,h_l5_pts,h_l5_sh,h_l5_sot,h_l5_sot_c,h_l5_gf,h_l5_ga,h_l5_fls,h_l5_conv,away_rest,a_missing_key_player,a_l5_pts,a_l5_sh,a_l5_sot,a_l5_sot_c,a_l5_gf,a_l5_ga,a_l5_fls,a_l5_conv,is_derby,month,relegation_pressure,referee_avg_cards_history,B365H,B365D,B365A,home_xg,away_xg,day_of_week,h_l5_xg,a_l5_xg,h_l5_xga,a_l5_xga,h_l3_xg,a_l3_xg,h_l3_xga,a_l3_xga,h_l3_gf,a_l3_gf,h_l3_ga,a_l3_ga,h_l3_btts,a_l3_btts
e3c3ddf0,2017-08-11,Arsenal,Leicester City,Emirates Stadium,4.0,3.0,7.0,1,2.0,1718,2017-08-11 Arsenal-Leicester City,1,Fri,59387.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.53,4.5,6.5,2.54329,1.46495,4,,,,,,,,,,,,,,
60f6cc1d,2017-08-12,Watford,Liverpool,Vicarage Road Stadium,3.0,3.0,6.0,1,1.0,1718,2017-08-12 Watford-Liverpool,1,Sat,20407.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,6.0,4.2,1.62,2.17647,2.61549,5,,,,,,,,,,,,,,
71b00bca,2017-08-12,Chelsea,Burnley,Stamford Bridge,2.0,3.0,5.0,1,0.0,1718,2017-08-12 Chelsea-Burnley,1,Sat,41616.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.25,6.5,15.0,1.35651,0.564237,5,,,,,,,,,,,,,,
2d369d17,2017-08-12,Crystal Palace,Huddersfield Town,Selhurst Park,0.0,3.0,3.0,0,0.0,1718,2017-08-12 Crystal Palace-Huddersfield Town,1,Sat,25448.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.83,3.6,5.0,0.988934,1.73657,5,,,,,,,,,,,,,,
7c834541,2017-08-12,Everton,Stoke City,Goodison Park,1.0,0.0,1.0,0,2.0,1718,2017-08-12 Everton-Stoke City,1,Sat,39045.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.7,3.8,5.75,0.720574,0.27644,5,,,,,,,,,,,,,,
e782371e,2017-08-12,Southampton,Swansea City,St. Mary's Stadium,0.0,0.0,0.0,0,1.0,1718,2017-08-12 Southampton-Swansea City,1,Sat,31447.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.62,4.0,6.5,2.21748,0.406196,5,,,,,,,,,,,,,,
684f704a,2017-08-12,West Brom,Bournemouth,The Hawthorns,1.0,0.0,1.0,0,2.0,1718,2017-08-12 West Brom-Bournemouth,1,Sat,25011.0,1500.0,1500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,2.4,3.3,3.3,1.18399,0.378659,5,,,,,,,,,,,,,,
072bfc99,2017-08-12,Brighton,Manchester City,The American Express Community Stadium,0.0,2.0,2.0,0,0.0,1718,2017-08-12 Brighton-Manchester City,1,Sat,30415.0,1500.0,1500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,11.0,5.5,1.33,0.276343,1.86751,5,,,,,,,,,,,,,,
d8a995d7,2017-08-13,Newcastle United,Tottenham Hotspur,St. James' Park,0.0,2.0,2.0,0,0.0,1718,2017-08-13 Newcastle United-Tottenham Hotspur,1,Sun,52077.0,1500.0,1500.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,5.5,4.0,1.7,0.634633,2.34418,6,,,,,,,,,,,,,,
f5d1f6f4,2017-08-13,Manchester Utd,West Ham United,Old Trafford,4.0,0.0,4.0,0,2.0,1718,2017-08-13 Manchester Utd-West Ham United,1,Sun,74928.0,1500.0,1500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,4.648538011695907,1.3,5.75,12.0,2.63853,0.62654,6,,,,,,,,,,,,,,
