target_name,model_name,accuracy_baseline,accuracy_optuna,f1_baseline,f1_optuna,auc_baseline,auc_optuna
1X2 (Match Winner),Logistic Regression (Elastic Net),0.5259649122807017,0.5308771929824562,0.4813885857100614,0.47183961972395655,0.0,0.0
1X2 (Match Winner),Random Forest,0.5199999999999999,0.5217543859649123,0.46756338986653523,0.455327696342787,0.0,0.0
1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.5161403508771929,0.5224561403508772,0.4604628344193727,0.4707413777503078,0.0,0.0
1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.49298245614035086,0.5224561403508773,0.4672522641086525,0.45805489156510576,0.0,0.0
1X2 (Match Winner),Neural Network (Dropout),0.46912280701754383,0.5056140350877193,0.45398043609630745,0.4513531354659445,0.0,0.0
Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.7094736842105263,0.7094736842105263,0.8076475937299069,0.8074606192456658,0.713185207504624,0.7138166068180629
Double Chance 1X (Home or Draw),Random Forest,0.6992982456140351,0.7031578947368421,0.8032185033072612,0.807077627151464,0.6912913340833041,0.6974190321006535
Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6908771929824562,0.6947368421052632,0.7995994654106605,0.8016096294266392,0.681269759807072,0.6964100705038818
Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6831578947368421,0.6975438596491228,0.7886123518778476,0.7986327952787132,0.6764560922931868,0.6937340992714335
Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6736842105263159,0.7024561403508771,0.7796337318936907,0.8032823133357816,0.6460797640151403,0.6984881137671527
Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6452631578947369,0.6540350877192982,0.6885262788709136,0.7064011838996264,0.7090708514210705,0.7115554458217301
Double Chance X2 (Away or Draw),Random Forest,0.6322807017543859,0.6375438596491229,0.6764657906511854,0.686790869214426,0.69428018546238,0.6988693571232079
Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6312280701754386,0.6417543859649122,0.6792888384221739,0.6920170882665323,0.6835690985637275,0.6966641000003915
Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6329824561403509,0.6431578947368422,0.6768119847851612,0.6896749217049037,0.6809410982227795,0.6964347238908054
Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6091228070175438,0.6445614035087719,0.6606751730959279,0.6827310119604377,0.6547457172538278,0.7031749935364026
Over 2.5 Goals,Logistic Regression (Elastic Net),0.547719298245614,0.5473684210526317,0.6311414815153182,0.625404562795097,0.5568037956053689,0.5531921927530485
Over 2.5 Goals,Random Forest,0.5554385964912282,0.5635087719298245,0.640485859093404,0.657891290024575,0.5471572063611831,0.5504677845744769
Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.5621052631578947,0.5431578947368421,0.6718768871597987,0.6778528966329604,0.537042815125435,0.5273739186929921
Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5421052631578946,0.5687719298245615,0.6090560491025074,0.6799872060397071,0.5415032152610809,0.5521729911690878
Over 2.5 Goals,Neural Network (Dropout),0.5185964912280702,0.5505263157894738,0.5782625954636743,0.6550261752127428,0.5212327249458403,0.5042027371049063
Under 2.5 Goals,Logistic Regression (Elastic Net),0.547719298245614,0.5466666666666666,0.4008698535169124,0.4169106643727959,0.5568037956053689,0.5529932543048047
Under 2.5 Goals,Random Forest,0.5442105263157895,0.5610526315789472,0.39611497869527584,0.3617427908425327,0.5399005578847356,0.5506588727103049
Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5677192982456141,0.5614035087719298,0.2994842727891633,0.35634162949429693,0.543398345604732,0.547186532121886
Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5421052631578946,0.5663157894736843,0.4358316199504431,0.3163787060001599,0.5415032152610809,0.552639029588109
Under 2.5 Goals,Neural Network (Dropout),0.5347368421052632,0.4968421052631579,0.3703076938925422,0.1102563038576981,0.5320512488607483,0.49939744255638263
BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5161403508771929,0.5343859649122807,0.5797487065540136,0.6954995719902657,0.5066325473184247,0.5
BTTS (Both Teams To Score),Random Forest,0.5242105263157895,0.5305263157894737,0.6010226975335333,0.6221027729011418,0.5119692202264391,0.504386098666955
BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.532280701754386,0.5266666666666666,0.6298031654150832,0.6395253745309737,0.5176169202349363,0.5193091381607874
BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5126315789473683,0.5319298245614036,0.5690193262751403,0.6191734502420655,0.508538277706231,0.5127144757013244
BTTS (Both Teams To Score),Neural Network (Dropout),0.5147368421052632,0.5336842105263158,0.511112780505896,0.5618547121771816,0.5176725103582027,0.5
BTTS - No,Logistic Regression (Elastic Net),0.5161403508771929,0.532280701754386,0.3961236488358749,0.1323943661971831,0.5066325473184247,0.5
BTTS - No,Random Forest,0.5059649122807017,0.5263157894736843,0.3572035040825053,0.33500604726242883,0.5010796429314907,0.5024199190286343
BTTS - No,HistGradientBoosting (Early Stopping),0.5347368421052632,0.5221052631578946,0.2645989863962625,0.4572327739070424,0.5057010250330594,0.5189915416332871
BTTS - No,XGBoost (L1/L2 Regularized),0.5126315789473683,0.5112280701754386,0.4312811746299447,0.3758093559983324,0.508538277706231,0.5036177830930202
BTTS - No,Neural Network (Dropout),0.5249122807017544,0.5336842105263158,0.45831030856551624,0.31067522117829177,0.5251015871814146,0.5273190492656707
Home Clean Sheet,Logistic Regression (Elastic Net),0.6845614035087719,0.7084210526315788,0.25072188743006113,0.0,0.6117582865248591,0.5482674999220054
