mirror_config,target_name,model_name,accuracy,roc_auc,f1_score
main,1X2 (Match Winner),Logistic Regression (Elastic Net),0.5326241134751774,0.0,0.453882671450394
main,1X2 (Match Winner),Random Forest,0.5304964539007092,0.0,0.4616717837654002
main,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.5230496453900709,0.0,0.4467032406271789
main,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.5290780141843971,0.0,0.4576116629547787
main,1X2 (Match Winner),Neural Network (Dropout),0.5031914893617021,0.0,0.4499542267883941
main,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.7081560283687944,0.7146795528009762,0.8062686396835549
main,Double Chance 1X (Home or Draw),Random Forest,0.7046099290780141,0.6989416442386125,0.8074801878803409
main,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6932624113475178,0.6947076118161439,0.8009220242640641
main,Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6975177304964538,0.6961785300234733,0.7986892304399988
main,Double Chance 1X (Home or Draw),Neural Network (Dropout),0.701418439716312,0.7001875460527328,0.8026490257980804
main,Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6535460992907802,0.7117812103103939,0.7061710773312824
main,Double Chance X2 (Away or Draw),Random Forest,0.6464539007092198,0.7013358127679071,0.6941480024285467
main,Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6439716312056738,0.6932866145491007,0.6971632578744431
main,Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6439716312056738,0.6962679196990167,0.6893652936351672
main,Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6436170212765957,0.7031150969677297,0.6832232638907133
main,Over 2.5 Goals,Logistic Regression (Elastic Net),0.5475177304964539,0.5536652103491522,0.6236177191010599
main,Over 2.5 Goals,Random Forest,0.5602836879432624,0.5501794479822413,0.6516214322021164
main,Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.55,0.5374657226076383,0.6696454951826074
main,Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5702127659574467,0.5522590369980503,0.6809529391984235
main,Over 2.5 Goals,Neural Network (Dropout),0.5468085106382979,0.5062602131442677,0.6450828037788435
main,Under 2.5 Goals,Logistic Regression (Elastic Net),0.54822695035461,0.5535509801881804,0.4217827167156379
main,Under 2.5 Goals,Random Forest,0.5606382978723404,0.5497838053993694,0.3739482807975562
main,Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5588652482269504,0.5447534761362481,0.3664126679861074
main,Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5734042553191488,0.5527809882390818,0.3192105551840634
main,Under 2.5 Goals,Neural Network (Dropout),0.5478723404255319,0.5,0.0
main,BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5336879432624114,0.5,0.5613628471830214
main,BTTS (Both Teams To Score),Random Forest,0.5219858156028369,0.5027069340350343,0.6066223126575423
main,BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.5460992907801419,0.5221917072257143,0.6365442925052361
main,BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5283687943262411,0.5046511739706557,0.6086118057184919
main,BTTS (Both Teams To Score),Neural Network (Dropout),0.5322695035460994,0.5003422168290694,0.5607339163654114
main,BTTS - No,Logistic Regression (Elastic Net),0.5336879432624114,0.5,0.1333333333333333
main,BTTS - No,Random Forest,0.5131205673758864,0.4993170352124615,0.3572727790427575
main,BTTS - No,HistGradientBoosting (Early Stopping),0.5375886524822695,0.5306813231513825,0.4781167009980596
main,BTTS - No,XGBoost (L1/L2 Regularized),0.525531914893617,0.5108322192438661,0.3964612911187378
main,BTTS - No,Neural Network (Dropout),0.5393617021276595,0.5126743250758045,0.3611582298466528
main,Home Clean Sheet,Logistic Regression (Elastic Net),0.7085106382978724,0.5,0.0
main,Home Clean Sheet,Random Forest,0.7088652482269504,0.609809950901458,0.150034698512659
main,Home Clean Sheet,HistGradientBoosting (Early Stopping),0.7088652482269504,0.5979326757657588,0.0436578415447307
main,Home Clean Sheet,XGBoost (L1/L2 Regularized),0.7085106382978724,0.603027084044148,0.0
main,Home Clean Sheet,Neural Network (Dropout),0.7046099290780141,0.5918758278034076,0.1702313814509184
oversampling_random,1X2 (Match Winner),Logistic Regression (Elastic Net),0.4882978723404255,0.0,0.4858779652796746
oversampling_random,1X2 (Match Winner),Random Forest,0.4925531914893617,0.0,0.4730319514268735
oversampling_random,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.4875886524822695,0.0,0.4834016677988946
oversampling_random,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.4868794326241135,0.0,0.4767593351976528
oversampling_random,1X2 (Match Winner),Neural Network (Dropout),0.4446808510638297,0.0,0.4465138502469385
oversampling_random,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.6588652482269504,0.7133283409474263,0.7294930433909024
oversampling_random,Double Chance 1X (Home or Draw),Random Forest,0.6812056737588652,0.6867459384580622,0.7725750088000444
oversampling_random,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6705673758865248,0.6752547117673334,0.7557672353649584
oversampling_random,Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6652482269503546,0.6814773654888502,0.7484774294474652
oversampling_random,Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6404255319148936,0.6482502618612527,0.7255062282546358
oversampling_random,Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6407801418439716,0.708337804033275,0.6576959335975265
oversampling_random,Double Chance X2 (Away or Draw),Random Forest,0.6358156028368794,0.696944455661801,0.6690634089210974
oversampling_random,Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6290780141843972,0.6769133532033514,0.6534606287140332
oversampling_random,Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6333333333333333,0.6835652930981511,0.6606700748884077
oversampling_random,Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6166666666666666,0.6568871185268692,0.6374947051927818
oversampling_random,Over 2.5 Goals,Logistic Regression (Elastic Net),0.5372340425531915,0.5556476618299614,0.5824365094745205
oversampling_random,Over 2.5 Goals,Random Forest,0.5372340425531915,0.5473018149736395,0.5887313211785313
oversampling_random,Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.5450354609929078,0.5391950311446719,0.5950516930550616
oversampling_random,Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5308510638297872,0.5400392245779974,0.5785425376661262
oversampling_random,Over 2.5 Goals,Neural Network (Dropout),0.525177304964539,0.5140624789480052,0.6069596936826911
oversampling_random,Under 2.5 Goals,Logistic Regression (Elastic Net),0.5372340425531915,0.5556476618299614,0.4767026451179127
oversampling_random,Under 2.5 Goals,Random Forest,0.5425531914893618,0.545263298327335,0.4676851628405059
oversampling_random,Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.550354609929078,0.5353375127690343,0.4563940958713001
oversampling_random,Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5308510638297872,0.5400392245779972,0.4649026408963726
oversampling_random,Under 2.5 Goals,Neural Network (Dropout),0.5202127659574469,0.5230842888762549,0.3734071184635371
oversampling_random,BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5053191489361702,0.5075091861877643,0.5471250172616651
oversampling_random,BTTS (Both Teams To Score),Random Forest,0.5010638297872341,0.497795865167965,0.5572920967921385
oversampling_random,BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.5141843971631206,0.5103580371763399,0.5762843424491553
oversampling_random,BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5131205673758865,0.506584452985235,0.561550450342145
oversampling_random,BTTS (Both Teams To Score),Neural Network (Dropout),0.5273049645390071,0.5170192550302037,0.5546041275312842
oversampling_random,BTTS - No,Logistic Regression (Elastic Net),0.5053191489361702,0.5075091861877643,0.4409671002105192
oversampling_random,BTTS - No,Random Forest,0.5042553191489361,0.5013131066773301,0.4021172739955092
oversampling_random,BTTS - No,HistGradientBoosting (Early Stopping),0.5280141843971631,0.5161601326134837,0.424491177829695
oversampling_random,BTTS - No,XGBoost (L1/L2 Regularized),0.5131205673758865,0.506584452985235,0.4468899260903193
oversampling_random,BTTS - No,Neural Network (Dropout),0.5170212765957446,0.503749221655251,0.4265539066223466
