target_name,model_name,accuracy,f1_score,roc_auc
1X2 (Match Winner),Logistic Regression (Elastic Net),0.5308771929824562,0.47183961972395655,0.0
1X2 (Match Winner),Random Forest,0.5217543859649123,0.455327696342787,0.0
1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.5224561403508772,0.4707413777503078,0.0
1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.5224561403508773,0.45805489156510576,0.0
1X2 (Match Winner),Neural Network (Dropout),0.5056140350877193,0.4513531354659445,0.0
Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.7094736842105263,0.8074606192456658,0.7138166068180629
Double Chance 1X (Home or Draw),Random Forest,0.7031578947368421,0.807077627151464,0.6974190321006535
Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6947368421052632,0.8016096294266392,0.6964100705038818
Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6975438596491228,0.7986327952787132,0.6937340992714335
Double Chance 1X (Home or Draw),Neural Network (Dropout),0.7024561403508771,0.8032823133357816,0.6984881137671527
Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6540350877192982,0.7064011838996264,0.7115554458217301
Double Chance X2 (Away or Draw),Random Forest,0.6375438596491229,0.686790869214426,0.6988693571232079
Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6417543859649122,0.6920170882665323,0.6966641000003915
Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6431578947368422,0.6896749217049037,0.6964347238908054
Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6445614035087719,0.6827310119604377,0.7031749935364026
Over 2.5 Goals,Logistic Regression (Elastic Net),0.5473684210526317,0.625404562795097,0.5531921927530485
Over 2.5 Goals,Random Forest,0.5635087719298245,0.657891290024575,0.5504677845744769
Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.5431578947368421,0.6778528966329604,0.5273739186929921
Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5687719298245615,0.6799872060397071,0.5521729911690878
Over 2.5 Goals,Neural Network (Dropout),0.5505263157894738,0.6550261752127428,0.5042027371049063
Under 2.5 Goals,Logistic Regression (Elastic Net),0.5466666666666666,0.4169106643727959,0.5529932543048047
Under 2.5 Goals,Random Forest,0.5610526315789472,0.3617427908425327,0.5506588727103049
Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5614035087719298,0.35634162949429693,0.547186532121886
Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5663157894736843,0.3163787060001599,0.552639029588109
Under 2.5 Goals,Neural Network (Dropout),0.4968421052631579,0.1102563038576981,0.49939744255638263
BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5343859649122807,0.6954995719902657,0.5
BTTS (Both Teams To Score),Random Forest,0.5305263157894737,0.6221027729011418,0.504386098666955
BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.5266666666666666,0.6395253745309737,0.5193091381607874
BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5319298245614036,0.6191734502420655,0.5127144757013244
BTTS (Both Teams To Score),Neural Network (Dropout),0.5336842105263158,0.5618547121771816,0.5
BTTS - No,Logistic Regression (Elastic Net),0.532280701754386,0.1323943661971831,0.5
BTTS - No,Random Forest,0.5263157894736843,0.33500604726242883,0.5024199190286343
BTTS - No,HistGradientBoosting (Early Stopping),0.5221052631578946,0.4572327739070424,0.5189915416332871
BTTS - No,XGBoost (L1/L2 Regularized),0.5112280701754386,0.3758093559983324,0.5036177830930202
BTTS - No,Neural Network (Dropout),0.5336842105263158,0.31067522117829177,0.5273190492656707
Home Clean Sheet,Logistic Regression (Elastic Net),0.7084210526315788,0.0,0.5482674999220054
Home Clean Sheet,Random Forest,0.7059649122807018,0.12784085027719394,0.6102222245993463
Home Clean Sheet,HistGradientBoosting (Early Stopping),0.7084210526315788,0.0,0.6067871876172862
Home Clean Sheet,XGBoost (L1/L2 Regularized),0.7084210526315788,0.0,0.6070721560779461
Home Clean Sheet,Neural Network (Dropout),0.7087719298245613,0.011940298507462687,0.5511985191175244
