Mercado,Modelo,Línea Base,Optimizado,Mejora,¿Mejoró?,Hiperparámetros
1X2 (Match Winner),Logistic Regression (Elastic Net),0.5297872340425532,0.5326241134751774,0.0028368794326241176,SÍ,"{'C': 0.003219802423208555, 'l1_ratio': 0.055335661445117146}"
1X2 (Match Winner),Random Forest,0.528723404255319,0.5304964539007092,0.0017730496453901567,SÍ,"{'n_estimators': 123, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 10}"
1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.522340425531915,0.5230496453900709,0.0007092198581559739,SÍ,"{'learning_rate': 0.005206009790451816, 'max_iter': 215, 'max_depth': 2, 'l2_regularization': 9.55088252819178}"
1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.500709219858156,0.5290780141843971,0.028368794326241176,SÍ,"{'learning_rate': 0.012637895457903364, 'n_estimators': 299, 'max_depth': 3, 'reg_lambda': 0.03183130121897769, 'reg_alpha': 8.170471726298468}"
1X2 (Match Winner),Neural Network (Dropout),0.48475177304964534,0.5031914893617021,0.018439716312056764,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.38825942277899184, 'lr': 0.0046110699883324365, 'epochs': 80, 'batch_size': 64}"
Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.7070921985815601,0.7081560283687944,0.0010638297872342939,SÍ,"{'C': 0.09671814975199718, 'l1_ratio': 0.730801606941857}"
Double Chance 1X (Home or Draw),Random Forest,0.6957446808510638,0.7046099290780141,0.00886524822695034,SÍ,"{'n_estimators': 179, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 18}"
Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6918439716312057,0.6932624113475178,0.0014184397163120588,SÍ,"{'learning_rate': 0.02643712749243137, 'max_iter': 102, 'max_depth': 3, 'l2_regularization': 0.00010599145585946733}"
Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6819148936170214,0.6975177304964538,0.015602836879432425,SÍ,"{'learning_rate': 0.08561346820449832, 'n_estimators': 83, 'max_depth': 2, 'reg_lambda': 0.32944591361625364, 'reg_alpha': 0.019765968348453365}"
Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6702127659574468,0.701418439716312,0.031205673758865182,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.2607300963085569, 'lr': 0.0012078476186946532, 'epochs': 50, 'batch_size': 128}"
Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6421985815602838,0.6535460992907802,0.01134751773049647,SÍ,"{'C': 0.01656882870125322, 'l1_ratio': 0.6035573620950306}"
Double Chance X2 (Away or Draw),Random Forest,0.6393617021276595,0.6464539007092198,0.007092198581560294,SÍ,"{'n_estimators': 309, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 18}"
Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6372340425531915,0.6439716312056738,0.006737588652482307,SÍ,"{'learning_rate': 0.05054830778065557, 'max_iter': 278, 'max_depth': 2, 'l2_regularization': 0.39977156562292654}"
Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6287234042553191,0.6439716312056738,0.01524822695035466,SÍ,"{'learning_rate': 0.02617251703876071, 'n_estimators': 204, 'max_depth': 2, 'reg_lambda': 0.06045811449584565, 'reg_alpha': 0.051068857728810854}"
Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6290780141843971,0.6436170212765957,0.014539007092198575,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.3693969584822606, 'lr': 0.0011517984652983223, 'epochs': 50, 'batch_size': 128}"
Over 2.5 Goals,Logistic Regression (Elastic Net),0.5471631205673759,0.5475177304964539,0.00035460992907798694,SÍ,"{'C': 0.3641134424603458, 'l1_ratio': 0.0023139719817934085}"
Over 2.5 Goals,Random Forest,0.5524822695035461,0.5602836879432624,0.007801418439716379,SÍ,"{'n_estimators': 304, 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 20}"
Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.550709219858156,0.55,-0.0007092198581559739,NO,"{'learning_rate': 0.0029386989565964084, 'max_iter': 79, 'max_depth': 6, 'l2_regularization': 0.002096585195095938}"
Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5425531914893617,0.5702127659574467,0.02765957446808509,SÍ,"{'learning_rate': 0.004262821609872431, 'n_estimators': 136, 'max_depth': 2, 'reg_lambda': 0.07710305649190981, 'reg_alpha': 0.015206546721626421}"
Over 2.5 Goals,Neural Network (Dropout),0.5156028368794325,0.5468085106382979,0.031205673758865404,SÍ,"{'hidden_dim': 64, 'dropout_rate': 0.3988836009199994, 'lr': 0.04619686164675047, 'epochs': 100, 'batch_size': 64}"
Under 2.5 Goals,Logistic Regression (Elastic Net),0.5471631205673759,0.54822695035461,0.0010638297872340718,SÍ,"{'C': 3.7186152480060883, 'l1_ratio': 0.667370880005686}"
Under 2.5 Goals,Random Forest,0.548581560283688,0.5606382978723404,0.012056737588652444,SÍ,"{'n_estimators': 257, 'max_depth': 3, 'min_samples_split': 8, 'min_samples_leaf': 16}"
Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5627659574468085,0.5588652482269504,-0.0039007092198580784,NO,"{'learning_rate': 0.017548482557239113, 'max_iter': 86, 'max_depth': 3, 'l2_regularization': 3.209580589792055e-05}"
