strategy,stake_param,min_odds,season,n,bets,wins,losses,winrate%,roi%,final,ganancia
variable,15,1.8,2324,380,380,236,144,62.1,3347.14,3447137.0,3347137.0
variable,10,1.8,2324,380,380,236,144,62.1,1203.01,1303010.0,1203010.0
fixed,20000,1.8,2324,380,380,236,144,62.1,1151.34,1251343.0,1151343.0
fixed,20000,2.0,2223,380,380,200,180,52.6,937.27,1037275.0,937275.0
fixed,15000,1.8,2324,380,380,236,144,62.1,863.51,963507.0,863507.0
fixed,15000,2.0,2223,380,380,200,180,52.6,702.96,802956.0,702956.0
variable,15,2.0,2223,380,380,200,180,52.6,634.98,734979.0,634979.0
fixed,10000,1.8,2324,380,380,236,144,62.1,575.67,675671.0,575671.0
variable,7,1.8,2324,380,380,236,144,62.1,557.9,657901.0,557901.0
fixed,10000,2.0,2223,380,380,200,180,52.6,468.64,568637.0,468637.0
fixed,20000,2.0,2324,380,380,191,189,50.3,451.31,551309.0,451309.0
variable,10,2.0,2223,380,380,200,180,52.6,368.74,468735.0,368735.0
fixed,15000,2.0,2324,380,380,191,189,50.3,338.48,438482.0,338482.0
variable,5,1.8,2324,380,380,236,144,62.1,300.25,400252.0,300252.0
fixed,5000,1.8,2324,380,380,236,144,62.1,287.84,387836.0,287836.0
fixed,20000,1.8,all,120,120,72,48,60.0,276.64,376640.0,276640.0
fixed,5000,2.0,2223,380,380,200,180,52.6,234.32,334319.0,234319.0
fixed,10000,2.0,2324,380,380,191,189,50.3,225.65,325655.0,225655.0
variable,7,2.0,2223,380,380,200,180,52.6,222.84,322839.0,222839.0
fixed,15000,1.8,all,120,120,72,48,60.0,207.48,307480.0,207480.0
fixed,2500,1.8,2324,380,380,236,144,62.1,143.92,243918.0,143918.0
fixed,20000,1.1,2324,380,380,320,60,84.2,141.56,241564.0,141564.0
variable,5,2.0,2223,380,380,200,180,52.6,141.18,241177.0,141177.0
fixed,10000,1.8,all,120,120,72,48,60.0,138.32,238320.0,138320.0
variable,3,1.8,2324,380,380,236,144,62.1,135.59,235589.0,135589.0
fixed,2500,2.0,2223,380,380,200,180,52.6,117.16,217159.0,117159.0
variable,15,1.8,all,120,120,72,48,60.0,115.95,215950.0,115950.0
fixed,5000,2.0,2324,380,380,191,189,50.3,112.83,212827.0,112827.0
fixed,15000,1.8,all,60,60,36,24,60.0,110.29,210291.0,110291.0
fixed,15000,1.1,2324,380,380,320,60,84.2,106.17,206173.0,106173.0
variable,2,1.8,2324,380,380,236,144,62.1,78.52,178521.0,78521.0
variable,10,1.8,all,120,120,72,48,60.0,78.51,178509.0,78509.0
fixed,20000,1.2,all,60,60,50,10,83.3,74.17,174168.0,74168.0
variable,3,2.0,2223,380,380,200,180,52.6,74.06,174056.0,74056.0
fixed,10000,1.8,all,60,60,36,24,60.0,73.53,173527.0,73527.0
variable,10,2.0,2324,380,380,191,189,50.3,72.62,172620.0,72620.0
fixed,10000,1.1,2324,380,380,320,60,84.2,70.78,170782.0,70782.0
fixed,5000,1.8,all,120,120,72,48,60.0,69.16,169160.0,69160.0
variable,15,2.0,2324,380,380,191,189,50.3,64.57,164567.0,64567.0
variable,7,2.0,2324,380,380,191,189,50.3,60.32,160325.0,60325.0
fixed,20000,1.1,all,120,120,102,18,85.0,59.14,159139.0,59139.0
fixed,1000,1.8,2324,380,380,236,144,62.1,57.57,157567.0,57567.0
