conf,stake,strategy,kelly_frac,vig,min_odds,total_bets,wins,win_rate,net_profit,final_bankroll,roi,sharpe
0.5,10,flat,0.05,0.85,1.1,758,491,64.78,-384.04,615.96,-5.07,-1.9684
0.5,10,flat,0.05,0.85,1.2,741,478,64.51,-365.34,634.66,-4.93,-1.8831
0.5,10,flat,0.05,0.85,1.3,672,421,62.65,-387.55,612.45,-5.77,-2.0415
0.5,10,flat,0.05,0.85,1.4,557,337,60.5,-378.25,621.75,-6.79,-2.1203
0.5,10,flat,0.05,0.85,1.5,378,214,56.61,-373.58,626.42,-9.88,-2.4322
0.5,10,flat,0.05,0.85,1.6,153,91,59.48,-30.6,969.4,-2.0,-0.3057
0.5,10,flat,0.05,0.9,1.1,759,492,64.82,40.84,1040.84,0.54,0.1977
0.5,10,flat,0.05,0.9,1.2,753,487,64.67,41.79,1041.79,0.56,0.2026
0.5,10,flat,0.05,0.9,1.3,726,463,63.77,6.46,1006.46,0.09,0.0315
0.5,10,flat,0.05,0.9,1.4,654,410,62.69,12.35,1012.35,0.19,0.0621
0.5,10,flat,0.05,0.9,1.5,535,318,59.44,-136.58,863.42,-2.55,-0.7312
0.5,10,flat,0.05,0.9,1.6,346,199,57.51,-92.39,907.61,-2.67,-0.593
0.5,10,flat,0.05,0.95,1.1,759,492,64.82,464.77,1464.77,6.12,2.1314
0.5,10,flat,0.05,0.95,1.2,759,492,64.82,464.77,1464.77,6.12,2.1314
0.5,10,flat,0.05,0.95,1.3,751,486,64.71,469.5,1469.5,6.25,2.1587
0.5,10,flat,0.05,0.95,1.4,706,447,63.31,388.25,1388.25,5.5,1.805
0.5,10,flat,0.05,0.95,1.5,635,395,62.2,343.09,1343.09,5.4,1.6483
0.5,10,flat,0.05,0.95,1.6,510,301,59.02,132.72,1132.72,2.6,0.6854
0.5,10,flat,0.05,0.98,1.1,759,492,64.82,719.13,1719.13,9.47,3.1969
0.5,10,flat,0.05,0.98,1.2,759,492,64.82,719.13,1719.13,9.47,3.1969
0.5,10,flat,0.05,0.98,1.3,755,488,64.64,707.91,1707.91,9.38,3.1474
0.5,10,flat,0.05,0.98,1.4,732,469,64.07,676.79,1676.79,9.25,3.028
0.5,10,flat,0.05,0.98,1.5,671,421,62.74,590.94,1590.94,8.81,2.7032
0.5,10,flat,0.05,0.98,1.6,578,352,60.9,446.64,1446.64,7.73,2.1435
0.5,10,flat,0.05,1.0,1.1,759,492,64.82,888.71,1888.71,11.71,3.8718
0.5,10,flat,0.05,1.0,1.2,759,492,64.82,888.71,1888.71,11.71,3.8718
0.5,10,flat,0.05,1.0,1.3,758,491,64.78,885.84,1885.84,11.69,3.8594
0.5,10,flat,0.05,1.0,1.4,746,482,64.61,883.96,1883.96,11.85,3.8669
0.5,10,flat,0.05,1.0,1.5,688,433,62.94,751.95,1751.95,10.93,3.3437
0.5,10,flat,0.05,1.0,1.6,615,382,62.11,688.96,1688.96,11.2,3.183
0.5,15,flat,0.05,0.85,1.1,758,491,64.78,-576.05,423.95,-5.07,-1.9684
